participant,group,mintsp,language,do,animacy,item,expected,response,education,spday,roday,residence
01b,b,62,sp,DP,An,spDPAn1,1,1,4,70,20,9
01b,b,62,sp,DP,An,spDPAn2,1,1,4,70,20,9
01b,b,62,sp,DP,An,spDPAn3,1,1,4,70,20,9
01b,b,62,sp,DP,An,spDPAn4,1,1,4,70,20,9
01b,b,62,sp,DP,An,spDPAn5,1,1,4,70,20,9
01b,b,62,sp,DP,Inan,spDPInan1,1,0,4,70,20,9
01b,b,62,sp,DP,Inan,spDPInan2,1,0,4,70,20,9
01b,b,62,sp,DP,Inan,spDPInan3,1,0,4,70,20,9
01b,b,62,sp,DP,Inan,spDPInan4,1,0,4,70,20,9
01b,b,62,sp,DP,Inan,spDPInan5,1,0,4,70,20,9
01b,b,62,sp,Pron,An,spPronAn1,1,1,4,70,20,9
01b,b,62,sp,Pron,An,spPronAn2,0,0,4,70,20,9
01b,b,62,sp,Pron,An,spPronAn3,0,0,4,70,20,9
01b,b,62,sp,Pron,An,spPronAn4,1,1,4,70,20,9
01b,b,62,sp,Pron,An,spPronAn5,1,1,4,70,20,9
01b,b,62,sp,Pron,Inan,spPronInan1,1,0,4,70,20,9
01b,b,62,sp,Pron,Inan,spPronInan2,1,0,4,70,20,9
01b,b,62,sp,Pron,Inan,spPronInan3,0,1,4,70,20,9
01b,b,62,sp,Pron,Inan,spPronInan4,1,0,4,70,20,9
01b,b,62,sp,Pron,Inan,spPronInan5,1,0,4,70,20,9
01b,b,62,sp,AGC,Inan,spAGCInan1,1,1,4,70,20,9
01b,b,62,sp,AGC,Inan,spAGCInan2,1,1,4,70,20,9
01b,b,62,sp,AGC,Inan,spAGCInan3,1,1,4,70,20,9
01b,b,62,sp,AGC,Inan,spAGCInan4,0,0,4,70,20,9
01b,b,62,sp,AGC,Inan,spAGCInan5,0,0,4,70,20,9
02b,b,53,sp,DP,An,spDPAn1,1,1,4,60,30,7
02b,b,53,sp,DP,An,spDPAn2,1,1,4,60,30,7
02b,b,53,sp,DP,An,spDPAn3,1,1,4,60,30,7
02b,b,53,sp,DP,An,spDPAn4,1,1,4,60,30,7
02b,b,53,sp,DP,An,spDPAn5,1,1,4,60,30,7
02b,b,53,sp,DP,Inan,spDPInan1,1,0,4,60,30,7
02b,b,53,sp,DP,Inan,spDPInan2,1,0,4,60,30,7
02b,b,53,sp,DP,Inan,spDPInan3,1,0,4,60,30,7
02b,b,53,sp,DP,Inan,spDPInan4,1,0,4,60,30,7
02b,b,53,sp,DP,Inan,spDPInan5,1,0,4,60,30,7
02b,b,53,sp,Pron,An,spPronAn1,1,1,4,60,30,7
02b,b,53,sp,Pron,An,spPronAn2,1,1,4,60,30,7
02b,b,53,sp,Pron,An,spPronAn3,1,1,4,60,30,7
02b,b,53,sp,Pron,An,spPronAn4,1,1,4,60,30,7
02b,b,53,sp,Pron,An,spPronAn5,1,1,4,60,30,7
02b,b,53,sp,Pron,Inan,spPronInan1,1,0,4,60,30,7
02b,b,53,sp,Pron,Inan,spPronInan2,1,0,4,60,30,7
02b,b,53,sp,Pron,Inan,spPronInan3,1,0,4,60,30,7
02b,b,53,sp,Pron,Inan,spPronInan4,1,0,4,60,30,7
02b,b,53,sp,Pron,Inan,spPronInan5,1,0,4,60,30,7
02b,b,53,sp,AGC,Inan,spAGCInan1,0,0,4,60,30,7
02b,b,53,sp,AGC,Inan,spAGCInan2,0,0,4,60,30,7
02b,b,53,sp,AGC,Inan,spAGCInan3,0,0,4,60,30,7
02b,b,53,sp,AGC,Inan,spAGCInan4,0,0,4,60,30,7
02b,b,53,sp,AGC,Inan,spAGCInan5,0,0,4,60,30,7
03b,b,58,sp,DP,An,spDPAn1,1,1,2,80,20,14
03b,b,58,sp,DP,An,spDPAn2,1,1,2,80,20,14
03b,b,58,sp,DP,An,spDPAn3,0,0,2,80,20,14
03b,b,58,sp,DP,An,spDPAn4,1,1,2,80,20,14
03b,b,58,sp,DP,An,spDPAn5,1,1,2,80,20,14
03b,b,58,sp,DP,Inan,spDPInan1,1,0,2,80,20,14
03b,b,58,sp,DP,Inan,spDPInan2,1,0,2,80,20,14
03b,b,58,sp,DP,Inan,spDPInan3,1,0,2,80,20,14
03b,b,58,sp,DP,Inan,spDPInan4,0,1,2,80,20,14
03b,b,58,sp,DP,Inan,spDPInan5,0,1,2,80,20,14
03b,b,58,sp,Pron,An,spPronAn1,1,1,2,80,20,14
03b,b,58,sp,Pron,An,spPronAn2,1,1,2,80,20,14
03b,b,58,sp,Pron,An,spPronAn3,1,1,2,80,20,14
03b,b,58,sp,Pron,An,spPronAn4,1,1,2,80,20,14
03b,b,58,sp,Pron,An,spPronAn5,1,1,2,80,20,14
03b,b,58,sp,Pron,Inan,spPronInan1,1,0,2,80,20,14
03b,b,58,sp,Pron,Inan,spPronInan2,0,1,2,80,20,14
03b,b,58,sp,Pron,Inan,spPronInan3,0,1,2,80,20,14
03b,b,58,sp,Pron,Inan,spPronInan4,1,0,2,80,20,14
03b,b,58,sp,Pron,Inan,spPronInan5,0,1,2,80,20,14
03b,b,58,sp,AGC,Inan,spAGCInan1,0,0,2,80,20,14
03b,b,58,sp,AGC,Inan,spAGCInan2,0,0,2,80,20,14
03b,b,58,sp,AGC,Inan,spAGCInan3,0,0,2,80,20,14
03b,b,58,sp,AGC,Inan,spAGCInan4,0,0,2,80,20,14
03b,b,58,sp,AGC,Inan,spAGCInan5,0,0,2,80,20,14
04b,b,59,sp,DP,An,spDPAn1,1,1,5,50,50,7
04b,b,59,sp,DP,An,spDPAn2,1,1,5,50,50,7
04b,b,59,sp,DP,An,spDPAn3,1,1,5,50,50,7
04b,b,59,sp,DP,An,spDPAn4,1,1,5,50,50,7
04b,b,59,sp,DP,An,spDPAn5,0,0,5,50,50,7
04b,b,59,sp,DP,Inan,spDPInan1,1,0,5,50,50,7
04b,b,59,sp,DP,Inan,spDPInan2,1,0,5,50,50,7
04b,b,59,sp,DP,Inan,spDPInan3,1,0,5,50,50,7
04b,b,59,sp,DP,Inan,spDPInan4,1,0,5,50,50,7
04b,b,59,sp,DP,Inan,spDPInan5,1,0,5,50,50,7
04b,b,59,sp,Pron,An,spPronAn1,1,1,5,50,50,7
04b,b,59,sp,Pron,An,spPronAn2,0,0,5,50,50,7
04b,b,59,sp,Pron,An,spPronAn3,1,1,5,50,50,7
04b,b,59,sp,Pron,An,spPronAn4,1,1,5,50,50,7
04b,b,59,sp,Pron,An,spPronAn5,1,1,5,50,50,7
04b,b,59,sp,Pron,Inan,spPronInan1,0,1,5,50,50,7
04b,b,59,sp,Pron,Inan,spPronInan2,1,0,5,50,50,7
04b,b,59,sp,Pron,Inan,spPronInan3,1,0,5,50,50,7
04b,b,59,sp,Pron,Inan,spPronInan4,1,0,5,50,50,7
04b,b,59,sp,Pron,Inan,spPronInan5,1,0,5,50,50,7
04b,b,59,sp,AGC,Inan,spAGCInan1,1,1,5,50,50,7
04b,b,59,sp,AGC,Inan,spAGCInan2,1,1,5,50,50,7
04b,b,59,sp,AGC,Inan,spAGCInan3,0,0,5,50,50,7
04b,b,59,sp,AGC,Inan,spAGCInan4,0,0,5,50,50,7
04b,b,59,sp,AGC,Inan,spAGCInan5,0,0,5,50,50,7
05b,b,57,sp,DP,An,spDPAn1,1,1,5,60,30,11
05b,b,57,sp,DP,An,spDPAn2,1,1,5,60,30,11
05b,b,57,sp,DP,An,spDPAn3,1,1,5,60,30,11
05b,b,57,sp,DP,An,spDPAn4,1,1,5,60,30,11
05b,b,57,sp,DP,An,spDPAn5,0,0,5,60,30,11
05b,b,57,sp,DP,Inan,spDPInan1,1,0,5,60,30,11
05b,b,57,sp,DP,Inan,spDPInan2,1,0,5,60,30,11
05b,b,57,sp,DP,Inan,spDPInan3,1,0,5,60,30,11
05b,b,57,sp,DP,Inan,spDPInan4,1,0,5,60,30,11
05b,b,57,sp,DP,Inan,spDPInan5,1,0,5,60,30,11
05b,b,57,sp,Pron,An,spPronAn1,0,0,5,60,30,11
05b,b,57,sp,Pron,An,spPronAn2,0,0,5,60,30,11
05b,b,57,sp,Pron,An,spPronAn3,0,0,5,60,30,11
05b,b,57,sp,Pron,An,spPronAn4,0,0,5,60,30,11
05b,b,57,sp,Pron,An,spPronAn5,0,0,5,60,30,11
05b,b,57,sp,Pron,Inan,spPronInan1,1,0,5,60,30,11
05b,b,57,sp,Pron,Inan,spPronInan2,1,0,5,60,30,11
05b,b,57,sp,Pron,Inan,spPronInan3,1,0,5,60,30,11
05b,b,57,sp,Pron,Inan,spPronInan4,1,0,5,60,30,11
05b,b,57,sp,Pron,Inan,spPronInan5,1,0,5,60,30,11
05b,b,57,sp,AGC,Inan,spAGCInan1,0,0,5,60,30,11
05b,b,57,sp,AGC,Inan,spAGCInan2,0,0,5,60,30,11
05b,b,57,sp,AGC,Inan,spAGCInan3,0,0,5,60,30,11
05b,b,57,sp,AGC,Inan,spAGCInan4,0,0,5,60,30,11
05b,b,57,sp,AGC,Inan,spAGCInan5,0,0,5,60,30,11
06b,b,58,sp,DP,An,spDPAn1,1,1,4,40,60,11
06b,b,58,sp,DP,An,spDPAn2,1,1,4,40,60,11
06b,b,58,sp,DP,An,spDPAn3,0,0,4,40,60,11
06b,b,58,sp,DP,An,spDPAn4,1,1,4,40,60,11
06b,b,58,sp,DP,An,spDPAn5,1,1,4,40,60,11
06b,b,58,sp,DP,Inan,spDPInan1,1,0,4,40,60,11
06b,b,58,sp,DP,Inan,spDPInan2,1,0,4,40,60,11
06b,b,58,sp,DP,Inan,spDPInan3,1,0,4,40,60,11
06b,b,58,sp,DP,Inan,spDPInan4,1,0,4,40,60,11
06b,b,58,sp,DP,Inan,spDPInan5,1,0,4,40,60,11
06b,b,58,sp,Pron,An,spPronAn1,1,1,4,40,60,11
06b,b,58,sp,Pron,An,spPronAn2,1,1,4,40,60,11
06b,b,58,sp,Pron,An,spPronAn3,1,1,4,40,60,11
06b,b,58,sp,Pron,An,spPronAn4,1,1,4,40,60,11
06b,b,58,sp,Pron,An,spPronAn5,1,1,4,40,60,11
06b,b,58,sp,Pron,Inan,spPronInan1,0,1,4,40,60,11
06b,b,58,sp,Pron,Inan,spPronInan2,0,1,4,40,60,11
06b,b,58,sp,Pron,Inan,spPronInan3,0,1,4,40,60,11
06b,b,58,sp,Pron,Inan,spPronInan4,1,0,4,40,60,11
06b,b,58,sp,Pron,Inan,spPronInan5,1,0,4,40,60,11
06b,b,58,sp,AGC,Inan,spAGCInan1,1,1,4,40,60,11
06b,b,58,sp,AGC,Inan,spAGCInan2,0,0,4,40,60,11
06b,b,58,sp,AGC,Inan,spAGCInan3,0,0,4,40,60,11
06b,b,58,sp,AGC,Inan,spAGCInan4,0,0,4,40,60,11
06b,b,58,sp,AGC,Inan,spAGCInan5,0,0,4,40,60,11
07b,b,56,sp,DP,An,spDPAn1,1,1,2,60,40,10
07b,b,56,sp,DP,An,spDPAn2,1,1,2,60,40,10
07b,b,56,sp,DP,An,spDPAn3,0,0,2,60,40,10
07b,b,56,sp,DP,An,spDPAn4,0,0,2,60,40,10
07b,b,56,sp,DP,An,spDPAn5,0,0,2,60,40,10
07b,b,56,sp,DP,Inan,spDPInan1,1,0,2,60,40,10
07b,b,56,sp,DP,Inan,spDPInan2,1,0,2,60,40,10
07b,b,56,sp,DP,Inan,spDPInan3,1,0,2,60,40,10
07b,b,56,sp,DP,Inan,spDPInan4,1,0,2,60,40,10
07b,b,56,sp,DP,Inan,spDPInan5,1,0,2,60,40,10
07b,b,56,sp,Pron,An,spPronAn1,1,1,2,60,40,10
07b,b,56,sp,Pron,An,spPronAn2,1,1,2,60,40,10
07b,b,56,sp,Pron,An,spPronAn3,1,1,2,60,40,10
07b,b,56,sp,Pron,An,spPronAn4,1,1,2,60,40,10
07b,b,56,sp,Pron,An,spPronAn5,1,1,2,60,40,10
07b,b,56,sp,Pron,Inan,spPronInan1,1,0,2,60,40,10
07b,b,56,sp,Pron,Inan,spPronInan2,1,0,2,60,40,10
07b,b,56,sp,Pron,Inan,spPronInan3,0,1,2,60,40,10
07b,b,56,sp,Pron,Inan,spPronInan4,0,1,2,60,40,10
07b,b,56,sp,Pron,Inan,spPronInan5,0,1,2,60,40,10
07b,b,56,sp,AGC,Inan,spAGCInan1,0,0,2,60,40,10
07b,b,56,sp,AGC,Inan,spAGCInan2,0,0,2,60,40,10
07b,b,56,sp,AGC,Inan,spAGCInan3,0,0,2,60,40,10
07b,b,56,sp,AGC,Inan,spAGCInan4,0,0,2,60,40,10
07b,b,56,sp,AGC,Inan,spAGCInan5,0,0,2,60,40,10
08b,b,57,sp,DP,An,spDPAn1,1,1,3,60,40,6
08b,b,57,sp,DP,An,spDPAn2,1,1,3,60,40,6
08b,b,57,sp,DP,An,spDPAn3,1,1,3,60,40,6
08b,b,57,sp,DP,An,spDPAn4,1,1,3,60,40,6
08b,b,57,sp,DP,An,spDPAn5,1,1,3,60,40,6
08b,b,57,sp,DP,Inan,spDPInan1,1,0,3,60,40,6
08b,b,57,sp,DP,Inan,spDPInan2,1,0,3,60,40,6
08b,b,57,sp,DP,Inan,spDPInan3,1,0,3,60,40,6
08b,b,57,sp,DP,Inan,spDPInan4,1,0,3,60,40,6
08b,b,57,sp,DP,Inan,spDPInan5,1,0,3,60,40,6
08b,b,57,sp,Pron,An,spPronAn1,1,1,3,60,40,6
08b,b,57,sp,Pron,An,spPronAn2,1,1,3,60,40,6
08b,b,57,sp,Pron,An,spPronAn3,1,1,3,60,40,6
08b,b,57,sp,Pron,An,spPronAn4,1,1,3,60,40,6
08b,b,57,sp,Pron,An,spPronAn5,0,0,3,60,40,6
08b,b,57,sp,Pron,Inan,spPronInan1,1,0,3,60,40,6
08b,b,57,sp,Pron,Inan,spPronInan2,1,0,3,60,40,6
08b,b,57,sp,Pron,Inan,spPronInan3,1,0,3,60,40,6
08b,b,57,sp,Pron,Inan,spPronInan4,1,0,3,60,40,6
08b,b,57,sp,Pron,Inan,spPronInan5,1,0,3,60,40,6
08b,b,57,sp,AGC,Inan,spAGCInan1,0,0,3,60,40,6
08b,b,57,sp,AGC,Inan,spAGCInan2,1,1,3,60,40,6
08b,b,57,sp,AGC,Inan,spAGCInan3,0,0,3,60,40,6
08b,b,57,sp,AGC,Inan,spAGCInan4,0,0,3,60,40,6
08b,b,57,sp,AGC,Inan,spAGCInan5,0,0,3,60,40,6
09b,b,59,sp,DP,An,spDPAn1,1,1,4,75,25,6
09b,b,59,sp,DP,An,spDPAn2,1,1,4,75,25,6
09b,b,59,sp,DP,An,spDPAn3,1,1,4,75,25,6
09b,b,59,sp,DP,An,spDPAn4,1,1,4,75,25,6
09b,b,59,sp,DP,An,spDPAn5,0,0,4,75,25,6
09b,b,59,sp,DP,Inan,spDPInan1,1,0,4,75,25,6
09b,b,59,sp,DP,Inan,spDPInan2,1,0,4,75,25,6
09b,b,59,sp,DP,Inan,spDPInan3,1,0,4,75,25,6
09b,b,59,sp,DP,Inan,spDPInan4,1,0,4,75,25,6
09b,b,59,sp,DP,Inan,spDPInan5,1,0,4,75,25,6
09b,b,59,sp,Pron,An,spPronAn1,1,1,4,75,25,6
09b,b,59,sp,Pron,An,spPronAn2,1,1,4,75,25,6
09b,b,59,sp,Pron,An,spPronAn3,1,1,4,75,25,6
09b,b,59,sp,Pron,An,spPronAn4,1,1,4,75,25,6
09b,b,59,sp,Pron,An,spPronAn5,1,1,4,75,25,6
09b,b,59,sp,Pron,Inan,spPronInan1,0,1,4,75,25,6
09b,b,59,sp,Pron,Inan,spPronInan2,0,1,4,75,25,6
09b,b,59,sp,Pron,Inan,spPronInan3,1,0,4,75,25,6
09b,b,59,sp,Pron,Inan,spPronInan4,1,0,4,75,25,6
09b,b,59,sp,Pron,Inan,spPronInan5,1,0,4,75,25,6
09b,b,59,sp,AGC,Inan,spAGCInan1,0,0,4,75,25,6
09b,b,59,sp,AGC,Inan,spAGCInan2,1,1,4,75,25,6
09b,b,59,sp,AGC,Inan,spAGCInan3,1,1,4,75,25,6
09b,b,59,sp,AGC,Inan,spAGCInan4,0,0,4,75,25,6
09b,b,59,sp,AGC,Inan,spAGCInan5,0,0,4,75,25,6
10b,b,46,sp,DP,An,spDPAn1,1,1,2,50,50,8
10b,b,46,sp,DP,An,spDPAn2,1,1,2,50,50,8
10b,b,46,sp,DP,An,spDPAn3,1,1,2,50,50,8
10b,b,46,sp,DP,An,spDPAn4,1,1,2,50,50,8
10b,b,46,sp,DP,An,spDPAn5,1,1,2,50,50,8
10b,b,46,sp,DP,Inan,spDPInan1,1,0,2,50,50,8
10b,b,46,sp,DP,Inan,spDPInan2,1,0,2,50,50,8
10b,b,46,sp,DP,Inan,spDPInan3,1,0,2,50,50,8
10b,b,46,sp,DP,Inan,spDPInan4,1,0,2,50,50,8
10b,b,46,sp,DP,Inan,spDPInan5,1,0,2,50,50,8
10b,b,46,sp,Pron,An,spPronAn1,1,1,2,50,50,8
10b,b,46,sp,Pron,An,spPronAn2,0,0,2,50,50,8
10b,b,46,sp,Pron,An,spPronAn3,1,1,2,50,50,8
10b,b,46,sp,Pron,An,spPronAn4,1,1,2,50,50,8
10b,b,46,sp,Pron,An,spPronAn5,1,1,2,50,50,8
10b,b,46,sp,Pron,Inan,spPronInan1,1,0,2,50,50,8
10b,b,46,sp,Pron,Inan,spPronInan2,1,0,2,50,50,8
10b,b,46,sp,Pron,Inan,spPronInan3,1,0,2,50,50,8
10b,b,46,sp,Pron,Inan,spPronInan4,1,0,2,50,50,8
10b,b,46,sp,Pron,Inan,spPronInan5,0,1,2,50,50,8
10b,b,46,sp,AGC,Inan,spAGCInan1,0,0,2,50,50,8
10b,b,46,sp,AGC,Inan,spAGCInan2,0,0,2,50,50,8
10b,b,46,sp,AGC,Inan,spAGCInan3,0,0,2,50,50,8
10b,b,46,sp,AGC,Inan,spAGCInan4,1,1,2,50,50,8
10b,b,46,sp,AGC,Inan,spAGCInan5,0,0,2,50,50,8
11b,b,53,sp,DP,An,spDPAn1,1,1,4,50,25,13
11b,b,53,sp,DP,An,spDPAn2,1,1,4,50,25,13
11b,b,53,sp,DP,An,spDPAn3,1,1,4,50,25,13
11b,b,53,sp,DP,An,spDPAn4,1,1,4,50,25,13
11b,b,53,sp,DP,An,spDPAn5,1,1,4,50,25,13
11b,b,53,sp,DP,Inan,spDPInan1,1,0,4,50,25,13
11b,b,53,sp,DP,Inan,spDPInan2,1,0,4,50,25,13
11b,b,53,sp,DP,Inan,spDPInan3,1,0,4,50,25,13
11b,b,53,sp,DP,Inan,spDPInan4,1,0,4,50,25,13
11b,b,53,sp,DP,Inan,spDPInan5,1,0,4,50,25,13
11b,b,53,sp,Pron,An,spPronAn1,1,1,4,50,25,13
11b,b,53,sp,Pron,An,spPronAn2,1,1,4,50,25,13
11b,b,53,sp,Pron,An,spPronAn3,1,1,4,50,25,13
11b,b,53,sp,Pron,An,spPronAn4,1,1,4,50,25,13
11b,b,53,sp,Pron,An,spPronAn5,1,1,4,50,25,13
11b,b,53,sp,Pron,Inan,spPronInan1,1,0,4,50,25,13
11b,b,53,sp,Pron,Inan,spPronInan2,1,0,4,50,25,13
11b,b,53,sp,Pron,Inan,spPronInan3,1,0,4,50,25,13
11b,b,53,sp,Pron,Inan,spPronInan4,1,0,4,50,25,13
11b,b,53,sp,Pron,Inan,spPronInan5,1,0,4,50,25,13
11b,b,53,sp,AGC,Inan,spAGCInan1,1,1,4,50,25,13
11b,b,53,sp,AGC,Inan,spAGCInan2,1,1,4,50,25,13
11b,b,53,sp,AGC,Inan,spAGCInan3,1,1,4,50,25,13
11b,b,53,sp,AGC,Inan,spAGCInan4,0,0,4,50,25,13
11b,b,53,sp,AGC,Inan,spAGCInan5,0,0,4,50,25,13
12b,b,62,sp,DP,An,spDPAn1,1,1,4,50,50,9
12b,b,62,sp,DP,An,spDPAn2,1,1,4,50,50,9
12b,b,62,sp,DP,An,spDPAn3,1,1,4,50,50,9
12b,b,62,sp,DP,An,spDPAn4,1,1,4,50,50,9
12b,b,62,sp,DP,An,spDPAn5,1,1,4,50,50,9
12b,b,62,sp,DP,Inan,spDPInan1,1,0,4,50,50,9
12b,b,62,sp,DP,Inan,spDPInan2,1,0,4,50,50,9
12b,b,62,sp,DP,Inan,spDPInan3,1,0,4,50,50,9
12b,b,62,sp,DP,Inan,spDPInan4,1,0,4,50,50,9
12b,b,62,sp,DP,Inan,spDPInan5,1,0,4,50,50,9
12b,b,62,sp,Pron,An,spPronAn1,1,1,4,50,50,9
12b,b,62,sp,Pron,An,spPronAn2,1,1,4,50,50,9
12b,b,62,sp,Pron,An,spPronAn3,0,0,4,50,50,9
12b,b,62,sp,Pron,An,spPronAn4,1,1,4,50,50,9
12b,b,62,sp,Pron,An,spPronAn5,1,1,4,50,50,9
12b,b,62,sp,Pron,Inan,spPronInan1,1,0,4,50,50,9
12b,b,62,sp,Pron,Inan,spPronInan2,1,0,4,50,50,9
12b,b,62,sp,Pron,Inan,spPronInan3,1,0,4,50,50,9
12b,b,62,sp,Pron,Inan,spPronInan4,1,0,4,50,50,9
